-74195.65629	-74195.51965	-74195.88809	-8187.735379	-8186.890976	-8188.491263
-74194.74927	-74195.3231	-74195.17486	-8188.307656	-8186.137216	-8187.349346
-74194.07449	-74192.28514	-74194.60811	-8187.07467	-8183.979857	-8182.679629
-74194.05576	-74193.74805	-74194.56888	-8185.090672	-8186.651345	-8183.128994
-74194.04669	-74193.64729	-74193.99858	-8186.438592	-8188.545626	-8183.710937
-74193.46661	-74195.3617	-74195.7438	-8186.882392	-8185.241263	-8188.565457
-74193.26746	-74190.8119	-74194.41843	-8186.018954	-8184.460732	-8175.345475
-74192.88551	-74192.26235	-74193.25108	-8182.455747	-8186.427497	-8183.676472
-74192.12614	-74191.75057	-74193.61494	-8170.393442	-8185.790604	-8182.365961
-74191.70384	-74195.49344	-74195.87446	-8178.946379	-8185.604321	-8184.326803
-74191.69629	-74195.36227	-74191.93879	-8173.161036	-8176.709484	-8186.363503
-74190.83673	-74193.22396	-74191.05593	-8174.961757	-8172.627149	-8177.827351
-74194.96618	-74195.08157	-74195.24601	-8188.857383	-8188.499981	-8189.67264
-74194.12108	-74194.60158	-74195.23999	-8175.09046	-8182.846279	-8176.777524
-74193.98334	-74194.00821	-74194.52675	-8179.237846	-8174.094613	-8179.116576
-74193.88616	-74195.64696	-74194.48475	-8190.730299	-8189.067516	-8188.014386
-74193.71158	-74195.67648	-74194.44866	-8191.183482	-8188.911231	-8187.82124
-74193.64706	-74195.43377	-74193.82025	-8180.956751	-8181.072085	-8185.729093
-74193.43407	-74193.18867	-74193.21985	-8184.782274	-8182.356909	-8182.356909
-74193.37722	-74193.07477	-74193.32367	-8190.111949	-8190.396803	-8190.025788
-74193.33684	-74193.73689	-74192.87064	-8189.195226	-8189.338575	-8189.201793
-74193.17435	-74192.92469	-74193.30313	-8186.073752	-8186.45507	-8188.039055
-74193.10516	-74193.23293	-74192.84173	-8156.910032	-8158.556866	-8157.276429
-74193.00132	-74193.4835	-74193.2324	-8187.404517	-8185.835633	-8188.330351
-74192.9572	-74194.04769	-74193.97677	-8185.932307	-8182.748829	-8183.689237
-74192.90305	-74192.87238	-74192.48392	-8182.525604	-8183.171456	-8187.792047
-74192.8851	-74193.00119	-74192.93232	-8191.191834	-8190.555918	-8189.99442
-74192.80872	-74192.34845	-74193.46864	-8187.800454	-8187.39225	-8189.996968
-74192.6003	-74193.03462	-74191.04227	-8187.085538	-8181.49504	-8185.724423
-74192.4605	-74192.64007	-74192.87018	-8190.786138	-8190.412793	-8190.29193
-74192.39372	-74193.04877	-74193.38777	-8189.252857	-8186.669403	-8188.180144
-74192.32799	-74192.54671	-74192.5349	-8187.586874	-8187.019344	-8188.914997
-74192.24171	-74193.15296	-74192.59249	-8176.301575	-8179.599457	-8179.362861
-74192.1136	-74192.33921	-74192.41355	-8188.100222	-8186.541429	-8189.951388
-74191.01337	-74192.61911	-74192.04168	-8180.658474	-8178.932165	-8182.628613
-74190.97868	-74194.52144	-74192.71648	-8163.865172	-8167.60297	-8173.561342
-74190.80602	-74193.96082	-74191.42766	-8168.108148	-8163.377173	-8174.380859
-74180.0208	-74181.39571	-74180.16157	-8169.800841	-8169.119455	-8165.043329
-74196.48835	-74196.06946	-74196.20834	-8182.871385	-8184.789521	-8185.418922
-74193.94331	-74196.04665	-74197.09585	-8186.050749	-8185.91781	-8184.10631
-74192.8246	-74192.48885	-74192.82768	-8187.861139	-8187.77943	-8189.516216
-74191.86618	-74192.64412	-74191.99234	-8189.060605	-8189.348584	-8189.834588
